FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
01/01/2016 12:00:00 AM,25,CUNDINAMARCA,25885,YACOPI,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/02/2016 12:00:00 AM,25,CUNDINAMARCA,25040,ANOLAIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/05/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/06/2016 12:00:00 AM,25,CUNDINAMARCA,25286,FUNZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/07/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/08/2016 12:00:00 AM,25,CUNDINAMARCA,25745,SIMIJACA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/13/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/17/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/19/2016 12:00:00 AM,25,CUNDINAMARCA,25001,AGUA DE DIOS,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/23/2016 12:00:00 AM,25,CUNDINAMARCA,25154,CARMEN DE CARUPA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/26/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/29/2016 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/01/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/03/2016 12:00:00 AM,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/04/2016 12:00:00 AM,25,CUNDINAMARCA,25488,NILO,ARTICULO 261. USURPACION DE TIERRAS,1
02/10/2016 12:00:00 AM,25,CUNDINAMARCA,25200,COGUA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/10/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25269,FACATATIVA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25386,LA MESA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/18/2016 12:00:00 AM,25,CUNDINAMARCA,25899,ZIPAQUIRA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/22/2016 12:00:00 AM,25,CUNDINAMARCA,25402,LA VEGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/24/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/01/2016 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/01/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/03/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/03/2016 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
03/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/11/2016 12:00:00 AM,25,CUNDINAMARCA,25386,LA MESA,ARTICULO 261. USURPACION DE TIERRAS,1
03/12/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/13/2016 12:00:00 AM,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 261. USURPACION DE TIERRAS,1
03/16/2016 12:00:00 AM,25,CUNDINAMARCA,25430,MADRID,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/22/2016 12:00:00 AM,25,CUNDINAMARCA,25269,FACATATIVA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/23/2016 12:00:00 AM,25,CUNDINAMARCA,25398,LA PEÑA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/30/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/13/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/14/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/15/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/16/2016 12:00:00 AM,25,CUNDINAMARCA,25513,PACHO,ARTICULO 261. USURPACION DE TIERRAS,1
04/17/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/22/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/22/2016 12:00:00 AM,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 261. USURPACION DE TIERRAS,1
04/23/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/25/2016 12:00:00 AM,25,CUNDINAMARCA,25001,AGUA DE DIOS,ARTICULO 261. USURPACION DE TIERRAS,1
04/27/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/28/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/03/2016 12:00:00 AM,25,CUNDINAMARCA,25339,GUTIERREZ,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/06/2016 12:00:00 AM,25,CUNDINAMARCA,25175,CHIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 261. USURPACION DE TIERRAS,1
05/08/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/12/2016 12:00:00 AM,25,CUNDINAMARCA,25817,TOCANCIPA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/16/2016 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/18/2016 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/23/2016 12:00:00 AM,25,CUNDINAMARCA,25398,LA PEÑA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/28/2016 12:00:00 AM,25,CUNDINAMARCA,25649,SAN BERNARDO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
