REGIÓN,METROPOLITANA,DISTRITO,ESTACIÓN,BARRIO,ZONA,NRO INTEGRANTES,ESTADO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,ZELFITA,URBANA,9,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,13,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,SANTA CECILIA E-9,URBANA,13,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BOSTON E-9,URBANA,30,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,LAS FLORES,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,EL CARMEN E-9,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,CAPELLANIA E-9,URBANA,12,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,ATAHUALPA,URBANA,24,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BAHIA SOLANO,URBANA,21,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDOS OPERATIVOS DE SEGURIDAD CIUDADANA,ESTACION DE POLICIA FONTIBON,CENTRO,URBANA,19,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BOHIOS DE HUNZA E-9,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,FONTIBON CENTRO E-9,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,EL REFUGIO E-9,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,FLANDES E-9,URBANA,6,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,LA ESTANCIA E-9,URBANA,21,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,MORAVIA,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,LA ROSITA E-9,URBANA,19,ACTIVO
