FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION_CONDUCTA,ZONA,CANTIDAD
19/11/2004,25,CUNDINAMARCA,25483,NARIÑO,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
24/11/2004,25,CUNDINAMARCA,25297,GACHETA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
26/11/2004,25,CUNDINAMARCA,25402,LA VEGA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
02/12/2004,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
08/12/2004,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
15/12/2004,25,CUNDINAMARCA,25779,SUSA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
21/12/2004,25,CUNDINAMARCA,25513,PACHO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
09/01/2005,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
10/01/2005,25,CUNDINAMARCA,25473,MOSQUERA,ARTICULO 336. CAZA ILEGAL,URBANA,1
21/01/2005,25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,ARTICULO 336. CAZA ILEGAL,RURAL,1
26/01/2005,25,CUNDINAMARCA,25899,ZIPAQUIRA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
01/02/2005,25,CUNDINAMARCA,25279,FOMEQUE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
02/02/2005,25,CUNDINAMARCA,25245,EL COLEGIO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
02/02/2005,25,CUNDINAMARCA,25867,VIANI,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
09/02/2005,25,CUNDINAMARCA,25743,SILVANIA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
10/02/2005,25,CUNDINAMARCA,25599,APULO,ARTICULO 332. CONTAMINACION AMBIENTAL,URBANA,1
11/02/2005,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
17/02/2005,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
03/03/2005,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
06/03/2005,25,CUNDINAMARCA,25473,MOSQUERA,ARTICULO 336. CAZA ILEGAL,URBANA,1
10/03/2005,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
10/03/2005,25,CUNDINAMARCA,25871,VILLAGOMEZ,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
11/03/2005,25,CUNDINAMARCA,25297,GACHETA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
11/03/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
17/03/2005,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
29/03/2005,25,CUNDINAMARCA,25793,TAUSA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
30/03/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
01/04/2005,25,CUNDINAMARCA,25793,TAUSA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
03/04/2005,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
08/04/2005,25,CUNDINAMARCA,25297,GACHETA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
09/04/2005,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
16/04/2005,25,CUNDINAMARCA,25473,MOSQUERA,ARTICULO 336. CAZA ILEGAL,URBANA,1
19/04/2005,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
28/04/2005,25,CUNDINAMARCA,25335,GUAYABETAL,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
29/04/2005,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
13/05/2005,25,CUNDINAMARCA,25148,CAPARRAPI,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
13/05/2005,25,CUNDINAMARCA,25335,GUAYABETAL,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
18/05/2005,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
18/05/2005,25,CUNDINAMARCA,25297,GACHETA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
20/05/2005,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
21/05/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
01/06/2005,25,CUNDINAMARCA,25368,JERUSALEN,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
02/06/2005,25,CUNDINAMARCA,25491,NOCAIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
03/06/2005,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
15/06/2005,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
26/06/2005,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
13/07/2005,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
18/07/2005,25,CUNDINAMARCA,25743,SILVANIA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
21/07/2005,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
26/07/2005,25,CUNDINAMARCA,25653,SAN CAYETANO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
27/07/2005,25,CUNDINAMARCA,25335,GUAYABETAL,ARTICULO 336. CAZA ILEGAL,RURAL,1
27/07/2005,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
27/07/2005,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),URBANA,1
31/07/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),URBANA,1
02/08/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
03/08/2005,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
13/08/2005,25,CUNDINAMARCA,25797,TENA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
15/08/2005,25,CUNDINAMARCA,25200,COGUA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
20/08/2005,25,CUNDINAMARCA,25839,UBALA,"ARTICULO 334. EXPERIMENTACION ILEGAL CON ESPECIES, AGENTES BIOLOGICOS O BIOQUIMICOS",URBANA,1
